module,path,layer,component,incoming,outgoing,classes,functions,async_functions,lines,size
delbot_platform.document_intelligence.builder.default_document_builder,delbot_platform/document_intelligence/builder/default_document_builder.py,document_intelligence,builder,2,0,1,1,0,25,596
delbot_platform.document_intelligence.builder.document_builder,delbot_platform/document_intelligence/builder/document_builder.py,document_intelligence,builder,3,0,1,1,0,21,402
delbot_platform.document_intelligence.builder.paragraph_builder,delbot_platform/document_intelligence/builder/paragraph_builder.py,document_intelligence,builder,0,0,1,5,0,194,3904
delbot_platform.document_intelligence.builder.semantic_chunk_builder,delbot_platform/document_intelligence/builder/semantic_chunk_builder.py,document_intelligence,builder,0,0,1,2,0,130,2727
delbot_platform.document_intelligence.debug.__init__,delbot_platform/document_intelligence/debug/__init__.py,document_intelligence,module,0,0,0,0,0,7,133
delbot_platform.document_intelligence.debug.layout_debugger,delbot_platform/document_intelligence/debug/layout_debugger.py,document_intelligence,module,1,0,1,1,0,77,1907
delbot_platform.document_intelligence.factory.__init__,delbot_platform/document_intelligence/factory/__init__.py,document_intelligence,module,0,0,0,0,0,7,166
delbot_platform.document_intelligence.factory.document_processor_factory,delbot_platform/document_intelligence/factory/document_processor_factory.py,document_intelligence,factory,1,0,1,1,0,56,1562
delbot_platform.document_intelligence.loader.__init__,delbot_platform/document_intelligence/loader/__init__.py,document_intelligence,module,0,0,0,0,0,0,0
delbot_platform.document_intelligence.loader.document_loader,delbot_platform/document_intelligence/loader/document_loader.py,document_intelligence,loader,2,0,1,1,0,23,461
delbot_platform.document_intelligence.loader.loaded_document,delbot_platform/document_intelligence/loader/loaded_document.py,document_intelligence,module,5,0,1,0,0,18,320
delbot_platform.document_intelligence.loader.pdf_loader,delbot_platform/document_intelligence/loader/pdf_loader.py,document_intelligence,loader,1,0,1,1,0,32,682
delbot_platform.document_intelligence.mapper.__init__,delbot_platform/document_intelligence/mapper/__init__.py,document_intelligence,module,0,0,0,0,0,11,244
delbot_platform.document_intelligence.mapper.layout_mapper,delbot_platform/document_intelligence/mapper/layout_mapper.py,document_intelligence,mapper,3,0,1,1,0,20,340
delbot_platform.document_intelligence.mappermupdf_mapper,delbot_platform/document_intelligence/mapper/pymupdf_mapper.py,document_intelligence,mapper,0,0,1,4,0,143,2922
delbot_platform.document_intelligence.models.__init__,delbot_platform/document_intelligence/models/__init__.py,document_intelligence,module,0,0,0,0,0,27,599
delbot_platform.document_intelligence.models.block,delbot_platform/document_intelligence/models/block.py,document_intelligence,module,4,0,1,0,0,16,283
delbot_platform.document_intelligence.models.bounding_box,delbot_platform/document_intelligence/models/bounding_box.py,document_intelligence,module,3,0,1,0,0,15,184
delbot_platform.document_intelligence.models.heading,delbot_platform/document_intelligence/models/heading.py,document_intelligence,module,4,0,1,0,0,23,474
delbot_platform.document_intelligence.models.heading_collection,delbot_platform/document_intelligence/models/heading_collection.py,document_intelligence,module,1,0,1,3,0,33,608
delbot_platform.document_intelligence.models.heading_level,delbot_platform/document_intelligence/models/heading_level.py,document_intelligence,module,2,0,1,0,0,28,379
delbot_platform.document_intelligence.models.layout_statistics,delbot_platform/document_intelligence/models/layout_statistics.py,document_intelligence,module,1,0,1,0,0,38,753
delbot_platform.document_intelligence.models.line,delbot_platform/document_intelligence/models/line.py,document_intelligence,module,3,0,1,0,0,16,282
delbot_platform.document_intelligence.models.page,delbot_platform/document_intelligence/models/page.py,document_intelligence,module,5,0,1,0,0,27,447
delbot_platform.document_intelligence.models.paragraph,delbot_platform/document_intelligence/models/paragraph.py,document_intelligence,module,4,0,1,0,0,20,360
delbot_platform.document_intelligence.models.paragraph_collection,delbot_platform/document_intelligence/models/paragraph_collection.py,document_intelligence,module,1,0,1,3,0,33,632
delbot_platform.document_intelligence.models.parsed_document,delbot_platform/document_intelligence/models/parsed_document.py,document_intelligence,module,15,0,1,0,0,25,426
delbot_platform.document_intelligence.models.semantic_chunk,delbot_platform/document_intelligence/models/semantic_chunk.py,document_intelligence,module,3,0,1,3,0,59,1054
delbot_platform.document_intelligence.models.semantic_chunk_collection,delbot_platform/document_intelligence/models/semantic_chunk_collection.py,document_intelligence,module,1,0,1,3,0,38,657
delbot_platform.document_intelligence.models.span,delbot_platform/document_intelligence/models/span.py,document_intelligence,module,3,0,1,0,0,29,477
delbot_platform.document_intelligence.parser.__init__,delbot_platform/document_intelligence/parser/__init__.py,document_intelligence,module,0,0,0,0,0,0,0
delbot_platform.document_intelligence.parser.document_parser,delbot_platform/document_intelligence/parser/document_parser.py,document_intelligence,parser,2,0,1,1,0,21,432
delbot_platform.document_intelligence.parser.pdf_document_parser,delbot_platform/document_intelligence/parser/pdf_document_parser.py,document_intelligence,parser,1,0,1,3,0,77,1781
delbot_platform.document_intelligence.pipeline.__init__,delbot_platform/document_intelligence/pipeline/__init__.py,document_intelligence,module,0,0,0,0,0,11,260
delbot_platform.document_intelligence.pipeline.analyzer_stage,delbot_platform/document_intelligence/pipeline/analyzer_stage.py,document_intelligence,module,1,0,1,2,0,37,783
delbot_platform.document_intelligence.pipeline.builder_stage,delbot_platform/document_intelligence/pipeline/builder_stage.py,document_intelligence,builder,1,0,1,2,0,28,614
delbot_platform.document_intelligence.pipeline.document_pipeline,delbot_platform/document_intelligence/pipeline/document_pipeline.py,document_intelligence,pipeline,3,0,1,2,0,32,509
delbot_platform.document_intelligence.pipeline.parser_stage,delbot_platform/document_intelligence/pipeline/parser_stage.py,document_intelligence,parser,1,0,1,2,0,28,605
delbot_platform.document_intelligence.pipeline.pipeline_stage,delbot_platform/document_intelligence/pipeline/pipeline_stage.py,document_intelligence,pipeline,5,0,1,1,0,15,235
